frame,timestamp,L,a,b,agtron_interpolado,origem_video
218,7.108,166.585,130.643,131.049,93.601,v1
219,7.14,166.531,130.462,131.015,93.593,v1
220,7.176,166.385,130.468,131.174,93.585,v1
221,7.208,165.919,130.256,131.402,93.577,v1
222,7.24,166.056,130.262,131.299,93.57,v1
223,7.272,165.836,130.715,131.0,93.562,v1
224,7.304,166.467,130.784,130.808,93.554,v1
225,7.336,166.03,131.218,130.997,93.547,v1
226,7.372,166.344,130.723,131.058,93.538,v1
227,7.404,161.848,130.521,130.897,93.531,v1
228,7.436,161.694,130.744,130.783,93.523,v1
229,7.468,161.518,130.357,131.06,93.516,v1
230,7.5,161.17,130.312,131.217,93.508,v1
231,7.536,161.515,130.53,130.922,93.5,v1
232,7.568,162.291,130.458,131.337,93.492,v1
233,7.6,161.428,130.513,130.553,93.485,v1
234,7.632,161.918,130.552,130.953,93.477,v1
235,7.664,163.889,130.293,130.85,93.469,v1
236,7.7,164.031,130.438,131.106,93.461,v1
237,7.732,165.712,130.061,131.162,93.453,v1
238,7.764,166.214,130.225,130.712,93.446,v1
239,7.796,166.64,130.009,130.753,93.438,v1
240,7.828,166.613,130.002,130.763,93.431,v1
241,7.86,167.155,130.089,131.15,93.423,v1
242,7.896,167.409,129.837,131.083,93.415,v1
243,7.928,166.767,130.193,131.045,93.407,v1
244,7.96,166.398,130.116,131.015,93.4,v1
245,7.992,165.811,130.382,130.919,93.392,v1
246,8.024,165.752,130.599,130.698,93.384,v1
247,8.06,166.036,130.626,131.029,93.376,v1
248,8.092,166.037,130.782,130.786,93.368,v1
249,8.124,166.45,130.609,130.885,93.361,v1
250,8.156,166.009,130.629,131.003,93.353,v1
251,8.188,165.508,130.22,130.996,93.346,v1
252,8.224,166.231,130.161,130.894,93.337,v1
253,8.256,166.714,130.366,130.877,93.33,v1
254,8.288,165.742,130.632,130.694,93.322,v1
255,8.32,165.477,130.632,130.869,93.315,v1
256,8.352,164.871,130.423,131.114,93.307,v1
257,8.384,163.562,130.695,130.844,93.299,v1
258,8.42,162.73,130.796,131.169,93.291,v1
259,8.452,163.163,131.077,130.924,93.283,v1
260,8.484,162.711,131.047,131.053,93.276,v1
261,8.516,163.474,130.673,131.36,93.268,v1
262,8.548,163.128,130.772,131.304,93.261,v1
263,8.584,163.622,130.676,131.363,93.252,v1
264,8.616,163.876,130.92,131.317,93.245,v1
265,8.648,164.941,130.838,131.218,93.237,v1
266,8.68,165.963,130.754,131.11,93.23,v1
267,8.712,165.363,130.833,131.124,93.222,v1
268,8.748,165.779,130.512,131.122,93.214,v1
269,8.78,166.066,130.91,130.907,93.206,v1
270,8.812,165.365,130.506,131.041,93.198,v1
271,8.844,164.999,129.936,131.48,93.191,v1
272,8.876,164.684,129.987,130.766,93.183,v1
273,8.908,164.734,130.122,131.051,93.176,v1
274,8.944,165.677,130.296,131.062,93.167,v1
275,8.976,164.9,130.119,131.094,93.16,v1
276,9.008,165.167,130.395,130.763,93.152,v1
277,9.04,163.644,130.32,130.544,93.145,v1
278,9.072,163.381,130.253,130.644,93.137,v1
279,9.108,164.121,129.954,130.791,93.129,v1
280,9.14,164.262,130.123,130.668,93.121,v1
281,9.172,163.945,130.439,130.335,93.113,v1
282,9.204,163.417,130.422,130.693,93.106,v1
283,9.236,163.504,130.635,130.551,93.098,v1
284,9.272,164.006,130.113,130.763,93.09,v1
285,9.304,164.066,129.935,130.823,93.082,v1
286,9.336,164.69,130.331,130.311,93.075,v1
287,9.368,164.749,130.156,130.362,93.067,v1
288,9.4,164.734,129.903,130.574,93.06,v1
289,9.432,164.436,130.22,130.4,93.052,v1
290,9.468,164.558,130.457,130.275,93.044,v1
291,9.5,164.253,130.249,130.805,93.036,v1
292,9.532,161.856,130.126,130.813,93.028,v1
293,9.564,161.223,130.507,130.67,93.021,v1
294,9.596,160.485,130.594,130.882,93.013,v1
295,9.632,160.862,130.403,130.835,93.005,v1
296,9.664,161.356,130.301,131.002,92.997,v1
297,9.696,160.392,130.553,130.883,92.99,v1
298,9.728,161.084,130.552,131.037,92.982,v1
299,9.76,160.256,130.484,130.941,92.975,v1
300,9.796,160.937,130.567,130.904,92.966,v1
301,9.828,160.564,130.333,130.834,92.959,v1
302,9.86,160.327,130.546,130.729,92.951,v1
303,9.892,159.741,130.422,130.821,92.943,v1
304,9.924,160.392,130.295,130.986,92.936,v1
305,9.956,160.922,130.307,130.844,92.928,v1
306,9.992,161.271,130.271,131.122,92.92,v1
307,10.024,161.718,130.187,131.346,92.912,v1
308,10.056,163.493,130.308,131.302,92.905,v1
309,10.088,165.672,130.238,131.394,92.897,v1
310,10.12,164.486,130.377,131.374,92.89,v1
311,10.156,163.964,130.385,131.183,92.881,v1
312,10.188,163.792,130.412,130.816,92.874,v1
313,10.22,162.031,130.292,130.868,92.866,v1
314,10.252,162.526,130.372,130.941,92.859,v1
315,10.284,164.066,130.286,131.2,92.851,v1
316,10.32,165.584,130.373,130.996,92.842,v1
317,10.352,164.357,130.398,130.823,92.835,v1
318,10.384,164.742,130.344,131.028,92.827,v1
319,10.416,164.99,130.407,131.224,92.82,v1
320,10.448,165.331,130.357,131.056,92.812,v1
321,10.48,166.059,130.393,130.664,92.805,v1
322,10.516,165.949,130.416,130.88,92.796,v1
323,10.548,165.958,130.227,130.712,92.789,v1
