frame,timestamp,L,a,b,agtron_interpolado,origem_video
416,13.592,148.479,127.53,128.722,91.467,v1
417,13.624,149.138,127.632,128.75,91.458,v1
418,13.66,149.275,127.722,128.466,91.448,v1
419,13.692,149.35,127.916,128.48,91.439,v1
420,13.724,147.755,127.536,129.077,91.43,v1
421,13.756,150.104,127.816,129.206,91.421,v1
422,13.788,147.495,127.772,129.239,91.413,v1
423,13.824,147.246,127.96,128.942,91.403,v1
424,13.856,147.285,127.967,128.934,91.394,v1
425,13.888,146.535,128.114,129.165,91.385,v1
426,13.92,146.076,128.397,129.01,91.376,v1
427,13.952,147.274,128.052,129.265,91.367,v1
428,13.988,147.213,128.052,128.956,91.357,v1
429,14.02,147.714,128.153,128.377,91.348,v1
430,14.052,151.154,127.838,128.518,91.339,v1
431,14.084,152.557,127.686,128.619,91.33,v1
432,14.116,149.241,127.935,128.623,91.321,v1
433,14.148,143.998,128.322,128.984,91.312,v1
434,14.184,145.338,128.383,129.436,91.302,v1
435,14.216,146.621,128.407,129.229,91.294,v1
436,14.248,146.33,128.606,129.58,91.285,v1
437,14.28,145.83,128.743,129.643,91.276,v1
438,14.312,145.218,128.259,129.831,91.267,v1
439,14.348,145.999,128.722,129.563,91.257,v1
440,14.38,146.137,128.565,129.549,91.248,v1
441,14.412,145.952,128.537,129.706,91.239,v1
442,14.444,144.556,128.542,129.706,91.23,v1
443,14.476,144.268,128.556,129.755,91.221,v1
444,14.512,144.038,129.075,129.718,91.211,v1
445,14.544,143.589,129.023,130.076,91.202,v1
446,14.576,142.983,129.026,130.404,91.193,v1
447,14.608,144.003,129.308,129.978,91.185,v1
448,14.64,144.68,129.375,130.332,91.176,v1
449,14.672,143.632,129.272,130.315,91.167,v1
450,14.708,142.209,129.098,130.493,91.157,v1
451,14.74,143.229,129.248,130.176,91.148,v1
452,14.772,142.369,129.089,130.294,91.139,v1
453,14.804,144.602,129.084,130.237,91.13,v1
454,14.836,144.478,128.697,130.054,91.121,v1
455,14.872,145.428,128.553,130.145,91.111,v1
456,14.904,146.138,129.021,130.148,91.102,v1
457,14.936,145.667,129.137,130.352,91.093,v1
458,14.968,145.048,128.964,130.146,91.084,v1
459,15.0,145.301,129.316,130.449,91.076,v1
460,15.036,145.884,129.147,130.397,91.066,v1
461,15.068,145.217,129.418,129.77,91.057,v1
462,15.1,145.072,128.833,130.008,91.048,v1
